,name,rest_id,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),rating_encoded
7940,Chez Mariannick,3213.0,Offline,booking_not_available,4.1,395.0,Whitefield,Casual Dining,"Pizza, Salad, Banana Toffee Cheesecake, Caramel Custard, Croissants, Crepe, Creme Brulee","French, Pizza, Bakery",1000.0,Dine-out,19.0
7942,Cafe Thulp,3214.0,Online,booking_not_available,3.4,54.0,"ITPL Main Road, Whitefield",Cafe,"Burgers, Pasta Alfredo, Pork Burger, Pizza","Cafe, Burger, Italian, Salad",1000.0,Dine-out,20.0
7943,Bhagini IRIS,3215.0,Offline,booking_not_available,3.6,115.0,Whitefield,Casual Dining,"Biryani, Tandoori Chicken, Curd Rice, Kalmi Kebab, Chilli Chicken, Chicken Tikka Masala","North Indian, Chinese",600.0,Dine-out,19.0
7944,Oregano Soul Food,3216.0,Online,booking_not_available,4.1,142.0,Whitefield,Cafe,"Sandwiches, Club Chicken Sandwich, Pizza, White Sauce Pasta, Coffee, Tomato Basil Pasta, Garlic Bread",Cafe,700.0,Dine-out,14.0
7946,Bhagini Kitchen And Bar,3217.0,Offline,booking_not_available,3.8,35.0,Marathahalli,"Casual Dining, Bar",Biryani,"Andhra, South Indian, Chinese, North Indian",1100.0,Dine-out,19.0
7948,Alpha - House of Biryani & Tandoor,3218.0,Online,booking_not_available,3.3,387.0,Whitefield,Casual Dining,"Raita, Paneer Biryani","Biryani, North Indian, Chinese",800.0,Dine-out,19.0
7950,Kaafi Desi,3219.0,Online,booking_not_available,4.1,515.0,Marathahalli,Quick Bites,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji","North Indian, Street Food",150.0,Dine-out,18.0
7951,The Diner,3220.0,Online,booking_not_available,3.6,197.0,Whitefield,Casual Dining,"Paneer Tikka Masala, Hyderabadi Chicken Biryani","North Indian, Chinese, Andhra, Biryani",700.0,Dine-out,19.0
7953,Chai Mania,3221.0,Online,booking_not_available,2.8,67.0,Marathahalli,Cafe,"Ginger Tea, Paratha, Poha, Chai, Chaai","Cafe, Tea, Beverages",300.0,Dine-out,17.0
7954,Chatpatlal Sweets & Snacks,3222.0,Online,booking_not_available,4.2,334.0,Marathahalli,"Quick Bites, Sweet Shop","Chaat, Ginger Tea, Club Kachori, Samosa, Aloo Paratha, Thali, Dhokla","Street Food, Mithai, North Indian, Beverages, Desserts",200.0,Dine-out,21.0
7956,Golden Rice,3223.0,Online,booking_not_available,4.2,175.0,Marathahalli,Casual Dining,"Chicken Masala, Vegetable Biryani, Lassi, Paratha, Butter Naan, Butter Chicken, Veg Platter","North Indian, Mughlai, Seafood, Chinese",1000.0,Dine-out,19.0
7957,Meghana Grand,3224.0,Online,booking_not_available,3.5,131.0,Whitefield,Casual Dining,Chicken Biryani,"Biryani, Andhra",800.0,Dine-out,18.0
7958,Kidilum,3225.0,Online,booking_not_available,3.8,207.0,Whitefield,Quick Bites,"Beef Fry, Appam, Chicken Curry, Kerala Parotta, Idiyappam, Egg Curry, Biryani","Kerala, Chinese, North Indian",350.0,Dine-out,19.0
7962,Aahar Vihar,3226.0,Online,booking_not_available,4.0,68.0,Marathahalli,Quick Bites,"Mutton Curry, Aloo Paratha",North Indian,250.0,Dine-out,21.0
7964,Dilli Darbar,3227.0,Online,booking_not_available,3.5,180.0,Whitefield,Casual Dining,"Butter Kulcha, Paneer Lababdar, Paratha, Lassi, Butter Chicken, Tawa Roti, Dal Makhani","North Indian, Chinese, Biryani",500.0,Dine-out,11.0
7965,New Punjabi Tasty Khana,3228.0,Online,booking_not_available,3.0,177.0,Whitefield,Quick Bites,"Laccha Paratha, Butter Naan, Roti, Vegetable Biryani","North Indian, Biryani, Chinese",400.0,Dine-out,20.0
7966,Chatora,3229.0,Online,booking_not_available,3.5,108.0,Marathahalli,Quick Bites,"Chole Bhature, Paratha, Veg Thali, Poori Bhaji, Chaat, Chhole Bhature","North Indian, Fast Food, Street Food",300.0,Dine-out,22.0
7967,Annapurna Bengali Restaurant,3230.0,Offline,booking_not_available,3.9,50.0,Whitefield,Casual Dining,"Fish Curry, Chicken Curry",Bengali,500.0,Dine-out,10.0
7972,Zodiac,3231.0,Offline,booking_not_available,3.6,62.0,Whitefield,Casual Dining,"Lunch Buffet, Chicken Biryani","Italian, Mexican, Mediterranean, North Indian, Continental",1500.0,Dine-out,16.0
7975,The Early bell,3232.0,Online,booking_not_available,3.9,191.0,Whitefield,Quick Bites,"Sandwich, Paratha, Poha, Sandwiches, Idli Vada, Tea, Roti","North Indian, Chinese",300.0,Dine-out,20.0
7979,M Bar - Bengaluru Marriott Hotel Whitefield,3233.0,Offline,booking_not_available,3.9,75.0,Whitefield,"Fine Dining, Bar",Rooftop Ambience,Finger Food,2000.0,Dine-out,12.0
7980,Akshara,3234.0,Online,booking_not_available,4.0,136.0,Marathahalli,Casual Dining,"Fry Prawns, Biryani, Andhra Thali, Neer Dosa, Kokum Juice, Masala Prawn, Brinjal Curry","South Indian, Kerala, Andhra",1000.0,Dine-out,8.0
7983,The Egg Factory,3235.0,Online,booking_not_available,4.0,738.0,Whitefield,Casual Dining,"French Toast, Pasta, Egg Pav Bhaji, Khau Suey, Shakshouka, Chicken Burger, Omelette","Continental, American",750.0,Dine-out,19.0
7986,Delhi Walle,3236.0,Offline,booking_not_available,3.7,116.0,Whitefield,Quick Bites,"Lassi, Chaat, Chole Bhature, Jalebi, Panipuri, Thali, Paratha","North Indian, Street Food",300.0,Dine-out,16.0
7987,Odisha Platter,3237.0,Online,booking_not_available,3.8,294.0,Marathahalli,Quick Bites,"Mutton Thali, Mutton Curry, Veg Thali",Oriya,350.0,Dine-out,19.0
7988,Bangaliana,3238.0,Online,booking_not_available,3.6,124.0,Marathahalli,Quick Bites,"Rasgulla, Mutton Kosha, Luchi, Fish Cutlet, Aloo Posto, Alur Dom, Thali",Bengali,600.0,Dine-out,20.0
7990,Treat Restaurant,3239.0,Online,booking_not_available,2.8,31.0,Whitefield,Casual Dining,"Appam, Egg Curry","South Indian, North Indian, Chinese",400.0,Dine-out,21.0
7991,The Chocolate Heaven,3240.0,Online,booking_not_available,3.1,175.0,Whitefield,"Dessert Parlor, Quick Bites","Waffles, Pizza, Coffee, Burgers, Hot Chocolate, Fries, Pancakes","Desserts, Cafe",600.0,Dine-out,19.0
7993,Pot Biryani,3241.0,Online,booking_not_available,3.1,111.0,Whitefield,Quick Bites,Dum Biryani,"North Indian, Chinese, Biryani, Seafood",600.0,Dine-out,21.0
7995,Cafe Petu,3242.0,Online,booking_not_available,3.8,373.0,Marathahalli,Quick Bites,"Paratha, Pizza Parantha, Sandwich, Tea, Honey Chilli Potatoes, Pasta Alfredo, Coffee","North Indian, Sandwich",300.0,Dine-out,15.0
7996,Desi Bites,3243.0,Online,booking_not_available,3.9,79.0,Marathahalli,Quick Bites,Paratha,North Indian,250.0,Dine-out,19.0
7999,Citrus Cafe - Lemon Tree Hotel,3244.0,Offline,booking_not_available,3.8,118.0,Whitefield,Casual Dining,Breakfast Buffet,"North Indian, Continental, South Indian, Asian",1900.0,Dine-out,9.0
8001,Hashtag Kitchen,3245.0,Online,booking_not_available,3.4,51.0,Marathahalli,Casual Dining,"Ghee Rice, Biryani, Chicken Bharta, Roti","North Indian, Biryani, Chinese",600.0,Dine-out,20.0
8005,Whitefield Bar and Grill - Bengaluru Marriott Hotel...,3246.0,Offline,booking_available,4.2,74.0,Whitefield,Fine Dining,"Burgers, Cocktails, Beef Patty, Chaap, French Fries, Chicken Burger, Kulcha","Continental, Burger, BBQ",3000.0,Dine-out,20.0
8007,Keys Cafe - Keys Hotel,3247.0,Offline,booking_not_available,2.8,161.0,Whitefield,"Casual Dining, Bar","Salads, Coffee, Breakfast Buffet, Halwa, Chicken Biryani, Lunch Buffet, Noodles","Chinese, Continental, North Indian",1200.0,Dine-out,18.0
8010,Kabab Mirchi,3248.0,Offline,booking_not_available,3.4,46.0,Whitefield,Quick Bites,"Chicken Grill, Dal Fry, Arabian Grape Juice, Rumali Roti, Shawarma Roll","North Indian, Mughlai, Chinese",350.0,Dine-out,11.0
8011,Food Point,3249.0,Offline,booking_not_available,3.2,167.0,Whitefield,Casual Dining,"Biryani, Paratha, Tandoori Chicken, Butter Chicken, Dal Makhani",North Indian,450.0,Dine-out,8.0
8012,Faasos,3250.0,Online,booking_not_available,3.8,632.0,Marathahalli,Quick Bites,"Rolls, Salad, Dal Makhani, Chicken Wrap, Pizza, Chocolate Cake, Chocolate Fantasy","North Indian, Biryani, Fast Food",500.0,Dine-out,12.0
8013,Kaati Zone,3251.0,Online,booking_not_available,3.3,184.0,Marathahalli,Quick Bites,"Rolls, Falafel, Biryani, Paratha","Fast Food, Biryani, Rolls",350.0,Dine-out,17.0
8016,Master Chifoo,3252.0,Online,booking_not_available,3.9,55.0,Marathahalli,Casual Dining,Momos,"Chinese, Thai, Momos",800.0,Dine-out,18.0
8018,California Burrito,3253.0,Offline,booking_not_available,3.9,123.0,Whitefield,"Food Court, Quick Bites","Rice Bowl, Nachos, Rice Bowls, California Burrito, Burrito Bowl, Salads, Tacos","Mexican, Fast Food",400.0,Dine-out,11.0
8020,Pizza Hut,3254.0,Online,booking_not_available,2.2,310.0,Marathahalli,Quick Bites,"Pizza, Garlic Bread, Veg Supreme",Pizza,750.0,Dine-out,17.0
8022,Chefactory Gold by Flechazo,3255.0,Online,booking_not_available,3.7,353.0,Whitefield,Casual Dining,"Chicken Tikka Biryani, Hyderabadi Chicken Dum Biryani, Raita, Paneer Tikka, Sandwich, Chicken Malai Tikka, Grilled Mushrooms","North Indian, Biryani",700.0,Dine-out,18.0
8025,Rolls On Wheels,3256.0,Offline,booking_not_available,3.6,255.0,Marathahalli,Quick Bites,"Rolls, Mix Veg","Fast Food, Rolls, Momos",200.0,Dine-out,15.0
8029,Namak Swad Anusaar,3257.0,Online,booking_not_available,3.8,155.0,Marathahalli,Quick Bites,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala","North Indian, Chinese, Biryani, Rolls",400.0,Dine-out,8.0
8036,The Wok,3258.0,Online,booking_not_available,2.8,89.0,Whitefield,Food Court,"Momos, Chop Suey","Chinese, Momos",500.0,Dine-out,19.0
8039,The London Shakes,3259.0,Online,booking_not_available,4.1,31.0,Marathahalli,Quick Bites,"Pasta, Burgers, Fries, Nachos, Exotic Garlic Bread, Pizza, Thick Shakes","Fast Food, Beverages",300.0,Dine-out,22.0
8043,Southern Spice,3260.0,Offline,booking_available,3.0,83.0,Whitefield,Casual Dining,"Raita, Lassi, Appam, Halwa",South Indian,1200.0,Dine-out,19.0
8044,Konaseema Grand,3261.0,Online,booking_not_available,3.2,379.0,Whitefield,Casual Dining,"Buttermilk, Chicken Biryani, Lassi, Tandoori Chicken, Bamboo Biryani, Mutton Biryani, Vegetable Biryani","North Indian, Mughlai, Andhra, Biryani",1000.0,Dine-out,24.0
8049,Wok With Chung,3262.0,Offline,booking_not_available,3.8,688.0,Marathahalli,Casual Dining,"Noodles, Drunken Chicken Wings, Chicken Satay, Golden Fried Prawns, Mushroom Manchurian, Spring Roll, Chop Suey","Chinese, Thai",1000.0,Dine-out,25.0
8053,Hyderabad Cuisine Multicuisine Restaurant,3263.0,Offline,booking_not_available,3.7,198.0,Whitefield,Casual Dining,"Spring Roll, Butter Naan, Fish, Haleem, Panneer Butter Masala, Roti, Hyderabadi Chicken Biryani","North Indian, Chinese, Biryani",700.0,Dine-out,20.0
8055,Spice Boulevard,3264.0,Offline,booking_not_available,3.9,90.0,Whitefield,Cafe,"Sandwich, Pancakes, Garlic Bread, Coffee, Nachos, Pasta Alfredo, Wine","Cafe, Continental, Chinese",700.0,Dine-out,22.0
8056,Hyderabad Cuisine,3265.0,Offline,booking_not_available,2.8,70.0,"Varthur Main Road, Whitefield",Casual Dining,"Kori Roti, Fish, Sea Food","Seafood, Biryani, Hyderabadi, North Indian",650.0,Dine-out,23.0
8059,Paprica,3266.0,Online,booking_not_available,2.6,118.0,Marathahalli,"Casual Dining, Bar","Mocktails, Gulab Jamun, Chilli Chicken, Biryani, Lunch Buffet","North Indian, Chinese",1200.0,Dine-out,22.0
8060,Whitefield Baking Company - Bengaluru Marriott Hotel...,3267.0,Offline,booking_not_available,3.9,57.0,Whitefield,"Bakery, Cafe","Coffee, Opera Pastry, Masala Tea","Bakery, Cafe",400.0,Dine-out,19.0
8061,Kaka Food Corner,3268.0,Online,booking_not_available,3.4,86.0,Whitefield,Quick Bites,"Panneer Butter Masala, Lassi",North Indian,300.0,Dine-out,20.0
8064,Decker's Lane,3269.0,Online,booking_not_available,2.1,242.0,Marathahalli,Quick Bites,"Rolls, Rasgulla, Fish Fry, Bhetki Paturi, Mutton Kosha, Veg Thali, Luchi",Bengali,400.0,Dine-out,23.0
8065,Thalassery Restaurant,3270.0,Online,booking_not_available,3.1,509.0,Marathahalli,Quick Bites,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry","Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages",500.0,Dine-out,13.0
8073,Friendz Zone,3271.0,Online,booking_not_available,3.6,39.0,Whitefield,Quick Bites,Chai,"North Indian, Street Food",400.0,Dine-out,18.0
8080,Desi Khana,3272.0,Online,booking_not_available,3.4,242.0,"Varthur Main Road, Whitefield",Quick Bites,"Dal Makhani, Paneer Thali",North Indian,300.0,Dine-out,12.0
8082,Cafe of Joy,3273.0,Offline,booking_not_available,3.7,51.0,Whitefield,Casual Dining,"Breads, Cappuccino, Cheesecake",Continental,600.0,Dine-out,23.0
8084,Elements - Mapple Express,3274.0,Offline,booking_not_available,2.9,51.0,Whitefield,Casual Dining,"Noodles, Salad","North Indian, Chinese, Fast Food",600.0,Dine-out,18.0
8099,Friends Diner,3275.0,Online,booking_not_available,2.8,36.0,Whitefield,Casual Dining,"Chicken Steak, Cheese Balls","Continental, Italian, Pizza",700.0,Dine-out,21.0
8107,U.P. Dhaba,3276.0,Online,booking_not_available,2.8,511.0,Whitefield,Quick Bites,"Paratha, Paneer Thali, Tandoori Roti, Chole Bhature","North Indian, Chinese",350.0,Dine-out,20.0
8112,Desi Doze,3277.0,Online,booking_not_available,3.8,147.0,Whitefield,Quick Bites,"Lassi, Paratha, Chaach, Chole Bhature, Thali","North Indian, Fast Food",400.0,Dine-out,18.0
8126,Ammi's Biryani,3278.0,Offline,booking_not_available,2.1,342.0,Marathahalli,Quick Bites,"Chicken Guntur, Vegetable Biryani, Executive Chicken Biryani, Mutton Biryani, Hyderabadi Chicken Biryani","Biryani, North Indian",500.0,Dine-out,24.0
8127,Prajwal The Restaurant,3279.0,Offline,booking_not_available,3.3,47.0,Marathahalli,Quick Bites,"Paratha, Thali",North Indian,300.0,Dine-out,22.0
8135,Rolls Plaza,3280.0,Online,booking_not_available,3.7,61.0,Marathahalli,Quick Bites,"Rolls, Rice, Biryani","Fast Food, Chinese, Rolls",200.0,Dine-out,20.0
8149,Udupi Grand,3281.0,Offline,booking_not_available,2.9,199.0,Whitefield,Quick Bites,"Filter Coffee, Idli, Vada, Masala Dosa, Tea, Pongal, Plain Dosa","South Indian, North Indian, Chinese",450.0,Dine-out,21.0
8150,Kailash Parbat,3282.0,Offline,booking_not_available,2.6,84.0,Whitefield,Food Court,"Chaat, Gulab Jamun, Raj Kachori, Chole, Bhel Puri, Biryani, Veg Thali",North Indian,400.0,Dine-out,19.0
8169,Breakfast House,3283.0,Offline,booking_not_available,3.6,49.0,"ITPL Main Road, Whitefield",Quick Bites,"Coffee, Vada, Mla Dosa","South Indian, North Indian",300.0,Dine-out,17.0
8171,Bageecha,3284.0,Online,booking_not_available,2.2,479.0,Marathahalli,Casual Dining,"Schezwan Chicken, Butter Chicken, Beer, Onion Pakoda, Tandoori Chicken, Dal Makhani, Lemon Chicken","North Indian, Chinese",650.0,Dine-out,22.0
8212,NYS Kitchen,3285.0,Online,booking_not_available,3.7,25.0,Whitefield,Quick Bites,Pasta,"North Indian, Chinese",500.0,Dine-out,24.0
8216,Ande Ka Funda,3286.0,Online,booking_not_available,3.1,104.0,Marathahalli,Quick Bites,"Paratha, Lassi, Rolls","North Indian, Fast Food, Rolls",250.0,Dine-out,23.0
8221,Haveli,3287.0,Online,booking_not_available,3.7,61.0,Marathahalli,Casual Dining,Biryani,"Biryani, North Indian, Mughlai",700.0,Dine-out,24.0
8222,Happy Kitchen,3288.0,Offline,booking_not_available,3.8,78.0,Marathahalli,Quick Bites,"Biryani, Idli, Vada, Chicken Curry","North Indian, Chinese",350.0,Dine-out,20.0
8226,New Tandoori Point,3289.0,Online,booking_not_available,2.4,56.0,Marathahalli,Casual Dining,"Biryani, Tandoori Chicken","North Indian, Chinese",600.0,Dine-out,20.0
8228,Indian Tadka,3290.0,Online,booking_not_available,3.7,214.0,Whitefield,Food Court,"Rice, Paratha, Chicken Tikka Biryani, Tandoori Chicken, Lassi, Dal Makhani, Punjabi Veg Thali",North Indian,700.0,Dine-out,23.0
8230,Noibidya,3291.0,Offline,booking_not_available,3.5,44.0,Marathahalli,Quick Bites,Fish,"North Indian, Bengali",400.0,Dine-out,19.0
8232,The Bawarchi,3292.0,Online,booking_not_available,2.6,329.0,Marathahalli,Casual Dining,"Hyderabadi Biryani, Roti, Chicken Dum Biryani, Pepper Chicken, Chicken Masala, Gongura Chicken, Veg Platter","Hyderabadi, North Indian, Chinese, Biryani",700.0,Dine-out,21.0
8233,Lassi Corner,3293.0,Online,booking_not_available,3.3,68.0,Marathahalli,"Beverage Shop, Quick Bites","Sandwiches, Lassi, Berry Delight, Faluda, Oreo Shake","Beverages, Sandwich",250.0,Dine-out,21.0
8234,The Grilled & Fried,3294.0,Online,booking_not_available,3.3,44.0,Marathahalli,Quick Bites,"Burgers, Chicken Fries, Chicken Grill, Hot Wings, Chicken Roll",Fast Food,300.0,Dine-out,22.0
8235,Mega Bite,3295.0,Offline,booking_available,3.6,54.0,Whitefield,Casual Dining,"Breakfast Buffet, Paratha, Rice","North Indian, Chinese, South Indian, Continental",1100.0,Dine-out,24.0
8237,Dil Punjabi,3296.0,Online,booking_not_available,2.6,158.0,Marathahalli,Quick Bites,Paratha,North Indian,300.0,Dine-out,19.0
8239,Damodar Seth,3297.0,Online,booking_not_available,3.1,152.0,Marathahalli,Casual Dining,"Thali, Fish Fry, Alur Dom, Aalo Bhaja","Bengali, Chinese, North Indian",600.0,Dine-out,28.0
8240,Wangs Kitchen,3298.0,Online,booking_not_available,3.0,382.0,Marathahalli,Casual Dining,"Noodles, Spring Roll, Kung Pao Chicken, Lamb, Sweet Corn Soup, Fish, Manchow Soup",Chinese,1000.0,Dine-out,24.0
8241,Imperia Restaurant,3299.0,Online,booking_not_available,2.4,125.0,Whitefield,Casual Dining,"Chicken Grill, Biryani","North Indian, Chinese, Arabian, Biryani, Fast Food",500.0,Dine-out,24.0
8246,Gilly's Restobar,3300.0,Offline,booking_available,4.4,1710.0,Brookefield,"Pub, Casual Dining","Mutton Biryani, Drunken Chicken, Chicken Biryani, Beer, Cocktails, Pasta, Onion Rings","Continental, Finger Food, North Indian, Chinese",1200.0,Drinks & nightlife,23.0
8247,Sherlock's Pub,3301.0,Online,booking_available,3.5,262.0,Brookefield,"Pub, Casual Dining","Pasta, Beer, Pepper Chicken, Onion Rings, Mocktails, Supreme Pizza, Fish Finger","Continental, North Indian, Chinese",1500.0,Drinks & nightlife,22.0
8248,Biergarten,3302.0,Offline,booking_available,4.7,6876.0,Whitefield,"Microbrewery, Pub","Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Biryani, Cheesy Garlic Bread","Continental, European, BBQ, Chinese, Asian",2400.0,Drinks & nightlife,20.0
8249,Windmills Craftworks,3303.0,Offline,booking_not_available,4.6,5892.0,Whitefield,"Microbrewery, Pub","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos","American, North Indian, Salad",2500.0,Drinks & nightlife,24.0
8250,HQ,3304.0,Offline,booking_available,4.1,466.0,Whitefield,"Casual Dining, Bar","Mocktails, Pizza, Crispy Chicken, Nachos, Crispy Onion Rings, Masala Peanuts, Beer","North Indian, Italian, Finger Food, Continental",1000.0,Drinks & nightlife,22.0
8251,Pablo's Gastrobar,3305.0,Offline,booking_not_available,4.0,1075.0,Whitefield,Bar,"Cocktails, Beer, Potato Wedges, Pizza, Long Island Iced Tea, Peri Peri Fries, Chilli Chicken","Finger Food, American, Asian, Italian",1450.0,Drinks & nightlife,22.0
8253,M Bar - Bengaluru Marriott Hotel Whitefield,3306.0,Offline,booking_not_available,3.9,75.0,Whitefield,"Fine Dining, Bar",Rooftop Ambience,Finger Food,2000.0,Drinks & nightlife,21.0
8257,Paprica,3307.0,Online,booking_not_available,2.6,118.0,Marathahalli,"Casual Dining, Bar","Mocktails, Gulab Jamun, Chilli Chicken, Biryani, Lunch Buffet","North Indian, Chinese",1200.0,Drinks & nightlife,22.0
8260,AB's - Absolute Barbecues,3308.0,Offline,booking_available,4.9,6375.0,BTM,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ",1600.0,Buffet,20.0
8261,The Globe Grub,3309.0,Offline,booking_available,4.4,201.0,BTM,Casual Dining,"Prawn, Shahi Tukda, Barfi, Veg Mushroom, Pizza, Momos, Masala Lemonade","Continental, North Indian, Asian, Italian",1300.0,Buffet,22.0
8262,Punjabi by Nature 2.0,3310.0,Online,booking_available,4.2,3230.0,BTM,"Casual Dining, Microbrewery","Paneer Tikki, Mutton Raan, Mango Margarita, Craft Beer, Lamb, Kulcha, Kheer",North Indian,1600.0,Buffet,19.0
8263,"3B's - Buddies, Bar & Barbecues",3311.0,Offline,booking_available,4.4,1149.0,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ",1100.0,Buffet,21.0
8264,Savoury Restaurant,3312.0,Online,booking_not_available,3.9,420.0,BTM,Casual Dining,"Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam","Arabian, North Indian, Chinese, Fast Food",800.0,Buffet,22.0
8267,Tangerine - Davanam Sarovar Portico Suites,3313.0,Online,booking_available,4.0,0.0,Koramangala 2nd Block,Casual Dining,"Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100.0,Buffet,23.0
8268,The Black Pearl,3314.0,Offline,booking_available,4.7,10413.0,Koramangala 5th Block,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry","North Indian, European, Mediterranean",1400.0,Buffet,22.0
8269,XOOX Brewmill,3315.0,Offline,booking_available,4.4,1533.0,Koramangala 5th Block,"Microbrewery, Casual Dining","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Noodles","Modern Indian, European, Asian",2000.0,Buffet,22.0
8270,Buff Buffet Buff,3316.0,Online,booking_available,4.5,3125.0,Koramangala 5th Block,"Casual Dining, Bar","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads","North Indian, Chinese, Continental, Thai, Salad",1500.0,Buffet,19.0
8271,Boho,3317.0,Offline,booking_available,4.2,1721.0,Koramangala 5th Block,Casual Dining,"Barbecue Chicken Wings, Chilli Paneer, Cocktails, Chicken Steak, Sangria, Spicy Chicken, Burgers","Continental, Asian, American, North Indian, Desserts",1200.0,Buffet,21.0
8272,Deja Vu Resto Bar,3318.0,Online,booking_available,4.4,2493.0,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900.0,Buffet,19.0
8273,Barbeque Nation,3319.0,Offline,booking_available,4.7,3852.0,JP Nagar,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","North Indian, European, Mediterranean, BBQ, Kebab",1600.0,Buffet,20.0
8274,Sultans of Spice,3320.0,Online,booking_available,4.5,3458.0,Koramangala 5th Block,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","North Indian, Mughlai, Salad",1300.0,Buffet,20.0
8275,Asia Kitchen By Mainland China,3321.0,Online,booking_available,4.9,2178.0,Koramangala 5th Block,"Casual Dining, Bar","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup","Asian, Chinese, Thai, Momos",1500.0,Buffet,19.0
8276,Bonsouth,3322.0,Online,booking_available,4.2,2616.0,Koramangala 5th Block,Casual Dining,"Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa","Chettinad, Andhra, Kerala",1300.0,Buffet,22.0
8277,Village - The Soul of India,3323.0,Offline,booking_available,4.1,2456.0,JP Nagar,Casual Dining,"Chaat, Pav Bhaji, Pakoda, Phirni, Veg Buffet, Jalebi, Gulab Jamun","Rajasthani, Gujarati, North Indian, South Indian",1000.0,Buffet,20.0
8278,Punjab Bistro,3324.0,Online,booking_available,4.4,455.0,Koramangala 7th Block,"Casual Dining, Bar","Chicken Shorba, Jumbo Prawns, Beer, Cocktails, Paan Shot, Butter Naan, Biryani",North Indian,1500.0,Buffet,21.0
8279,Toscano,3325.0,Online,booking_available,4.5,710.0,Koramangala 7th Block,Casual Dining,"Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Panna Cotta, Wine","Italian, Salad",1500.0,Buffet,22.0
8280,By The Blue - Grand Mercure,3326.0,Offline,booking_available,4.1,782.0,Koramangala 3rd Block,Casual Dining,"Butter Naan, Mocktails, Cocktails, Sunday Brunch, Waffles, Gulab Jamun, Veg Platter","North Indian, Mughlai",1500.0,Buffet,22.0
8281,Salt - Indian Restaurant Bar & Grill,3327.0,Online,booking_available,4.4,677.0,Koramangala 7th Block,Casual Dining,"Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","North Indian, Mughlai, Biryani",1500.0,Buffet,21.0
8282,Oye Amritsar,3328.0,Online,booking_available,4.0,1851.0,Koramangala 6th Block,Casual Dining,"Lassi, Raita, Dal Makhani, Jalebi Rabri, Chaach, Hara Bhara Kabab, Lime Soda",North Indian,600.0,Buffet,21.0
8283,Hunan,3329.0,Offline,booking_available,4.3,2241.0,Koramangala 5th Block,Casual Dining,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","Chinese, Thai, Momos",1100.0,Buffet,22.0
8284,Empire Restaurant,3330.0,Online,booking_not_available,4.1,6875.0,Koramangala 5th Block,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma","North Indian, Mughlai, South Indian, Chinese",750.0,Buffet,18.0
8285,The Flying Trapeze,3331.0,Offline,booking_available,3.8,0.0,Koramangala 5th Block,Lounge,Friendly Staff,"North Indian, Continental, Chinese",1500.0,Buffet,19.0
